Independent Director	Digital filing under Section 9 has improved, but user support is lacking.	Section 9	Article 10	Chapter 7
Lawyer	The provisions under Section 15 are unclear and need simplification for better compliance.	Section 15	Article 14	Chapter 2
Lawyer	As a Lawyer, I find the filing process under Section 6 too complex.	Section 6	Article 14	Chapter 7
Auditor	Greater transparency should be introduced in Chapter 8.	Section 6	Article 3	Chapter 8
Auditor	There is a conflict between Section 5 and Article 12, which needs clarification.	Section 5	Article 12	Chapter 9
Company Secretary	There is ambiguity in Section 20, which may lead to litigation.	Section 20	Article 5	Chapter 5
Shareholder	The provisions under Section 17 are unclear and need simplification for better compliance.	Section 17	Article 8	Chapter 9
CFO	The provisions under Section 11 are unclear and need simplification for better compliance.	Section 11	Article 1	Chapter 9
Auditor	Digital filing under Section 11 has improved, but user support is lacking.	Section 11	Article 12	Chapter 10
Independent Director	As a Independent Director, I find the filing process under Section 13 too complex.	Section 13	Article 14	Chapter 4
Shareholder	Digital filing under Section 6 has improved, but user support is lacking.	Section 6	Article 3	Chapter 10
Lawyer	There is a conflict between Section 2 and Article 15, which needs clarification.	Section 2	Article 15	Chapter 6
Director	Digital filing under Section 13 has improved, but user support is lacking.	Section 13	Article 15	Chapter 7
